date_from;daily_hour;weekday;month;Synthetic_3_6kW;Synthetic_7_2kW;Flex_3_6kW;Flex_7_2kW;n_private
21.12.2018 10:00;10;Friday;Dec;1,17;1,17;0;0,174;1
21.12.2018 11:00;11;Friday;Dec;1,62;3,24;0;0;1
21.12.2018 12:00;12;Friday;Dec;3,6;7,2;0;0;1
21.12.2018 13:00;13;Friday;Dec;3,6;7,2;0;0;1
21.12.2018 14:00;14;Friday;Dec;3,6;7,2;0;0;1
21.12.2018 15:00;15;Friday;Dec;3,6;5,03;0;2,17;1
21.12.2018 16:00;16;Friday;Dec;3,6;0;0;7,2;1
21.12.2018 17:00;17;Friday;Dec;3,6;0;0;7,2;1
21.12.2018 18:00;18;Friday;Dec;3,6;0;0;7,2;1
21.12.2018 19:00;19;Friday;Dec;3,05;0;0;5,518;1
21.12.2018 20:00;20;Friday;Dec;0;0;0;0;1
21.12.2018 21:00;21;Friday;Dec;0;0;0;0;1
21.12.2018 22:00;22;Friday;Dec;0;0;0;0;1
21.12.2018 23:00;23;Friday;Dec;0;0;0;0;1
22.12.2018 00:00;0;Saturday;Dec;0;0;0;0;2
22.12.2018 01:00;1;Saturday;Dec;0;0;0;0;2
22.12.2018 02:00;2;Saturday;Dec;0;0;0;0;2
22.12.2018 03:00;3;Saturday;Dec;0;0;0;0;2
22.12.2018 04:00;4;Saturday;Dec;0;0;0;0;2
22.12.2018 05:00;5;Saturday;Dec;0;0;0;0;2
22.12.2018 06:00;6;Saturday;Dec;0;0;0;0;2
22.12.2018 07:00;7;Saturday;Dec;0;0;0;0;2
22.12.2018 08:00;8;Saturday;Dec;0;0;0;0;2
22.12.2018 09:00;9;Saturday;Dec;0;0;0;0;2
22.12.2018 10:00;10;Saturday;Dec;0;0;0;0;2
22.12.2018 11:00;11;Saturday;Dec;0;0;0;0;2
22.12.2018 12:00;12;Saturday;Dec;0;0;0;0;2
22.12.2018 13:00;13;Saturday;Dec;0;0;0;0;2
22.12.2018 14:00;14;Saturday;Dec;0;0;0;0;2
22.12.2018 15:00;15;Saturday;Dec;0;0;0;0;2
