date_from;daily_hour;weekday;month;Synthetic_3_6kW;Synthetic_7_2kW;Flex_3_6kW;Flex_7_2kW;n_shared
10.01.2019 00:00;0;Thursday;Jan;0;0;0;0;1
10.01.2019 01:00;1;Thursday;Jan;0;0;0;0;1
10.01.2019 02:00;2;Thursday;Jan;0;0;0;0;1
10.01.2019 03:00;3;Thursday;Jan;0;0;0;0;1
10.01.2019 04:00;4;Thursday;Jan;0;0;0;0;1
10.01.2019 05:00;5;Thursday;Jan;0;0;0;0;1
10.01.2019 06:00;6;Thursday;Jan;0;0;0;0;1
10.01.2019 07:00;7;Thursday;Jan;0;0;0;0;1
10.01.2019 08:00;8;Thursday;Jan;0;0;0;0;1
10.01.2019 09:00;9;Thursday;Jan;0;0;0;0;1
10.01.2019 10:00;10;Thursday;Jan;0;0;0;0;1
10.01.2019 11:00;11;Thursday;Jan;0;0;0;0;1
10.01.2019 12:00;12;Thursday;Jan;0;0;0;0;1
10.01.2019 13:00;13;Thursday;Jan;0;0;0;0;1
10.01.2019 14:00;14;Thursday;Jan;0;0;0;0;1
10.01.2019 15:00;15;Thursday;Jan;0;0;0;0;1
10.01.2019 16:00;16;Thursday;Jan;1,8;3,6;0;0;1
10.01.2019 17:00;17;Thursday;Jan;3,3;1,5;0;0,89;1
10.01.2019 18:00;18;Thursday;Jan;0;0;0;0;1
10.01.2019 19:00;19;Thursday;Jan;0;0;0;0;1
10.01.2019 20:00;20;Thursday;Jan;0;0;0;0;1
10.01.2019 21:00;21;Thursday;Jan;0;0;0;0;1
10.01.2019 22:00;22;Thursday;Jan;0;0;0;0;1
10.01.2019 23:00;23;Thursday;Jan;0;0;0;0;1
11.01.2019 00:00;0;Friday;Jan;0;0;0;0;3
11.01.2019 01:00;1;Friday;Jan;0;0;0;0;3
11.01.2019 02:00;2;Friday;Jan;0;0;0;0;3
11.01.2019 03:00;3;Friday;Jan;0;0;0;0;3
11.01.2019 04:00;4;Friday;Jan;0;0;0;0;3
11.01.2019 05:00;5;Friday;Jan;0;0;0;0;3
11.01.2019 06:00;6;Friday;Jan;0;0;0;0;3
11.01.2019 07:00;7;Friday;Jan;0;0;0;0;3
11.01.2019 08:00;8;Friday;Jan;0;0;0;0;3
11.01.2019 09:00;9;Friday;Jan;0;0;0;0;3
11.01.2019 10:00;10;Friday;Jan;0;0;0;0;3
11.01.2019 11:00;11;Friday;Jan;0;0;0;0;3
11.01.2019 12:00;12;Friday;Jan;0;0;0;0;3
11.01.2019 13:00;13;Friday;Jan;0;0;0;0;3
11.01.2019 14:00;14;Friday;Jan;0;0;0;0;3
11.01.2019 15:00;15;Friday;Jan;2,88;5,76;0;0;3
11.01.2019 16:00;16;Friday;Jan;3,6;5,94;0;1,26;3
11.01.2019 17:00;17;Friday;Jan;6,42;5,64;0;0,848;3
11.01.2019 18:00;18;Friday;Jan;5,58;2,36;0;5,56;3
11.01.2019 19:00;19;Friday;Jan;4,46;7,2;2,74;7,2;3
11.01.2019 20:00;20;Friday;Jan;5,16;10,32;3,6;7,2;3
11.01.2019 21:00;21;Friday;Jan;7,2;8,87;2,583;10,696;3
11.01.2019 22:00;22;Friday;Jan;7,2;4,31;0;9,664;3
11.01.2019 23:00;23;Friday;Jan;5,63;0;1,57;7,2;3
12.01.2019 00:00;0;Saturday;Jan;2,27;0;3,6;7,2;4
12.01.2019 01:00;1;Saturday;Jan;0;0;3,6;7,2;4
12.01.2019 02:00;2;Saturday;Jan;0;0;3,6;7,2;4
12.01.2019 03:00;3;Saturday;Jan;0;0;3,6;7,2;4
12.01.2019 04:00;4;Saturday;Jan;0;0;3,6;7,2;4
12.01.2019 05:00;5;Saturday;Jan;0;0;3,6;7,2;4
12.01.2019 06:00;6;Saturday;Jan;0;0;3,6;7,2;4
12.01.2019 07:00;7;Saturday;Jan;0;0;3,6;7,2;4
