date_from;date_to;month;AMS_kWh;Synthetic_3_6kW;Synthetic_7_2kW;Simultaneous_if_3_6kW
02.01.2019 19:00;02.01.2019 20:00;Jan;0,05;0,06;0,12;1
02.01.2019 20:00;02.01.2019 21:00;Jan;6,6;3,6;7,2;1
02.01.2019 21:00;02.01.2019 22:00;Jan;6,8;3,6;7,2;1
02.01.2019 22:00;02.01.2019 23:00;Jan;1,45;3,6;0,12;1
02.01.2019 23:00;03.01.2019 00:00;Jan;0,05;3,6;0;1
03.01.2019 00:00;03.01.2019 01:00;Jan;0;0,18;0;1
03.01.2019 01:00;03.01.2019 02:00;Jan;0;NA;NA;NA
03.01.2019 02:00;03.01.2019 03:00;Jan;0,05;NA;NA;NA
03.01.2019 03:00;03.01.2019 04:00;Jan;0;NA;NA;NA
03.01.2019 04:00;03.01.2019 05:00;Jan;0;NA;NA;NA
03.01.2019 05:00;03.01.2019 06:00;Jan;0,05;NA;NA;NA
03.01.2019 06:00;03.01.2019 07:00;Jan;0;NA;NA;NA
03.01.2019 07:00;03.01.2019 08:00;Jan;0;NA;NA;NA
03.01.2019 08:00;03.01.2019 09:00;Jan;0,05;NA;NA;NA
03.01.2019 09:00;03.01.2019 10:00;Jan;0,05;NA;NA;NA
03.01.2019 10:00;03.01.2019 11:00;Jan;0;NA;NA;NA
03.01.2019 11:00;03.01.2019 12:00;Jan;0,05;NA;NA;NA
03.01.2019 12:00;03.01.2019 13:00;Jan;0;NA;NA;NA
03.01.2019 13:00;03.01.2019 14:00;Jan;0,05;NA;NA;NA
03.01.2019 14:00;03.01.2019 15:00;Jan;0,05;NA;NA;NA
03.01.2019 15:00;03.01.2019 16:00;Jan;0;NA;NA;NA
03.01.2019 16:00;03.01.2019 17:00;Jan;0,05;NA;NA;NA
03.01.2019 17:00;03.01.2019 18:00;Jan;0;NA;NA;NA
03.01.2019 18:00;03.01.2019 19:00;Jan;0,05;NA;NA;NA
03.01.2019 19:00;03.01.2019 20:00;Jan;0,05;NA;NA;NA
03.01.2019 20:00;03.01.2019 21:00;Jan;0;NA;NA;NA
03.01.2019 21:00;03.01.2019 22:00;Jan;0,05;NA;NA;NA
03.01.2019 22:00;03.01.2019 23:00;Jan;0;NA;NA;NA
03.01.2019 23:00;04.01.2019 00:00;Jan;0,05;NA;NA;NA
04.01.2019 00:00;04.01.2019 01:00;Jan;0,05;NA;NA;NA
04.01.2019 01:00;04.01.2019 02:00;Jan;0;NA;NA;NA
04.01.2019 02:00;04.01.2019 03:00;Jan;0,05;NA;NA;NA
04.01.2019 03:00;04.01.2019 04:00;Jan;0;NA;NA;NA
04.01.2019 04:00;04.01.2019 05:00;Jan;0,05;NA;NA;NA
04.01.2019 05:00;04.01.2019 06:00;Jan;0;NA;NA;NA
04.01.2019 06:00;04.01.2019 07:00;Jan;0,05;NA;NA;NA
04.01.2019 07:00;04.01.2019 08:00;Jan;0,05;NA;NA;NA
04.01.2019 08:00;04.01.2019 09:00;Jan;0;NA;NA;NA
04.01.2019 09:00;04.01.2019 10:00;Jan;0,05;NA;NA;NA
04.01.2019 10:00;04.01.2019 11:00;Jan;0;NA;NA;NA
04.01.2019 11:00;04.01.2019 12:00;Jan;0,05;NA;NA;NA
04.01.2019 12:00;04.01.2019 13:00;Jan;0,05;NA;NA;NA
04.01.2019 13:00;04.01.2019 14:00;Jan;0;NA;NA;NA
04.01.2019 14:00;04.01.2019 15:00;Jan;0,05;NA;NA;NA
04.01.2019 15:00;04.01.2019 16:00;Jan;0;NA;NA;NA
04.01.2019 16:00;04.01.2019 17:00;Jan;0;NA;NA;NA
04.01.2019 17:00;04.01.2019 18:00;Jan;0,05;NA;NA;NA
04.01.2019 18:00;04.01.2019 19:00;Jan;0;NA;NA;NA
04.01.2019 19:00;04.01.2019 20:00;Jan;0,05;NA;NA;NA
04.01.2019 20:00;04.01.2019 21:00;Jan;0;NA;NA;NA
04.01.2019 21:00;04.01.2019 22:00;Jan;0,05;NA;NA;NA
04.01.2019 22:00;04.01.2019 23:00;Jan;0;NA;NA;NA
04.01.2019 23:00;05.01.2019 00:00;Jan;0,05;NA;NA;NA
05.01.2019 00:00;05.01.2019 01:00;Jan;0;NA;NA;NA
05.01.2019 01:00;05.01.2019 02:00;Jan;0,05;NA;NA;NA
05.01.2019 02:00;05.01.2019 03:00;Jan;0;NA;NA;NA
05.01.2019 03:00;05.01.2019 04:00;Jan;0,05;NA;NA;NA
05.01.2019 04:00;05.01.2019 05:00;Jan;0;NA;NA;NA
05.01.2019 05:00;05.01.2019 06:00;Jan;0;NA;NA;NA
05.01.2019 06:00;05.01.2019 07:00;Jan;0,05;NA;NA;NA
05.01.2019 07:00;05.01.2019 08:00;Jan;0;NA;NA;NA
05.01.2019 08:00;05.01.2019 09:00;Jan;0,05;NA;NA;NA
05.01.2019 09:00;05.01.2019 10:00;Jan;0;NA;NA;NA
05.01.2019 10:00;05.01.2019 11:00;Jan;0,05;NA;NA;NA
05.01.2019 11:00;05.01.2019 12:00;Jan;0;NA;NA;NA
05.01.2019 12:00;05.01.2019 13:00;Jan;0,05;NA;NA;NA
05.01.2019 13:00;05.01.2019 14:00;Jan;0;NA;NA;NA
05.01.2019 14:00;05.01.2019 15:00;Jan;0;NA;NA;NA
05.01.2019 15:00;05.01.2019 16:00;Jan;0,05;NA;NA;NA
05.01.2019 16:00;05.01.2019 17:00;Jan;0;NA;NA;NA
05.01.2019 17:00;05.01.2019 18:00;Jan;0,05;NA;NA;NA
05.01.2019 18:00;05.01.2019 19:00;Jan;6,45;3,36;6,72;1
05.01.2019 19:00;05.01.2019 20:00;Jan;6,8;3,6;7,2;1
05.01.2019 20:00;05.01.2019 21:00;Jan;1,75;3,6;0,85;1
05.01.2019 21:00;05.01.2019 22:00;Jan;0,05;3,6;0;1
05.01.2019 22:00;05.01.2019 23:00;Jan;0;0,61;0;1
05.01.2019 23:00;06.01.2019 00:00;Jan;0;0;0;NA
06.01.2019 00:00;06.01.2019 01:00;Jan;0,05;0;0;NA
