Date_from;Date_to;KROPPAN BRU;MOHOLTLIA;SELSBAKK;MOHOLT RAMPE 2;Jonsvannsveien vest for Steinanvegen
01.12.2018 00:00;01.12.2018 01:00;639;0;0;4;144
01.12.2018 01:00;01.12.2018 02:00;487;153;115;21;83
01.12.2018 02:00;01.12.2018 03:00;408;85;75;10;69
01.12.2018 03:00;01.12.2018 04:00;282;89;56;8;39
01.12.2018 04:00;01.12.2018 05:00;165;64;34;3;25
01.12.2018 05:00;01.12.2018 06:00;169;78;37;3;26
01.12.2018 06:00;01.12.2018 07:00;277;148;60;6;52
01.12.2018 07:00;01.12.2018 08:00;558;359;93;22;147
01.12.2018 08:00;01.12.2018 09:00;783;481;141;30;295
01.12.2018 09:00;01.12.2018 10:00;1239;686;201;47;241
01.12.2018 10:00;01.12.2018 11:00;1773;1015;327;112;425
01.12.2018 11:00;01.12.2018 12:00;2290;1159;416;172;580
01.12.2018 12:00;01.12.2018 13:00;2572;1280;488;185;644
01.12.2018 13:00;01.12.2018 14:00;2811;1393;498;206;724
01.12.2018 14:00;01.12.2018 15:00;2946;1467;536;195;747
01.12.2018 15:00;01.12.2018 16:00;2792;1272;576;206;682
01.12.2018 16:00;01.12.2018 17:00;2582;1149;473;170;585
01.12.2018 17:00;01.12.2018 18:00;2609;1181;458;188;534
01.12.2018 18:00;01.12.2018 19:00;2223;979;422;127;508
01.12.2018 19:00;01.12.2018 20:00;1516;680;293;88;357
01.12.2018 20:00;01.12.2018 21:00;1089;445;234;57;237
01.12.2018 21:00;01.12.2018 22:00;784;319;151;43;178
01.12.2018 22:00;01.12.2018 23:00;751;291;151;38;188
01.12.2018 23:00;02.12.2018 00:00;762;222;159;34;159
02.12.2018 00:00;02.12.2018 01:00;673;236;126;29;147
02.12.2018 01:00;02.12.2018 02:00;599;170;96;30;122
02.12.2018 02:00;02.12.2018 03:00;522;136;112;27;97
02.12.2018 03:00;02.12.2018 04:00;330;74;84;15;71
02.12.2018 04:00;02.12.2018 05:00;214;58;34;4;31
02.12.2018 05:00;02.12.2018 06:00;140;66;43;4;25
02.12.2018 06:00;02.12.2018 07:00;175;75;38;2;37
02.12.2018 07:00;02.12.2018 08:00;344;167;58;10;62
02.12.2018 08:00;02.12.2018 09:00;418;201;65;12;97
02.12.2018 09:00;02.12.2018 10:00;682;332;102;24;141
02.12.2018 10:00;02.12.2018 11:00;1111;534;204;55;307
02.12.2018 11:00;02.12.2018 12:00;1593;749;327;87;461
02.12.2018 12:00;02.12.2018 13:00;1982;945;385;92;534
02.12.2018 13:00;02.12.2018 14:00;1954;958;354;104;512
02.12.2018 14:00;02.12.2018 15:00;2136;1069;415;102;523
02.12.2018 15:00;02.12.2018 16:00;2593;1289;479;133;629
02.12.2018 16:00;02.12.2018 17:00;2552;1155;435;153;618
02.12.2018 17:00;02.12.2018 18:00;2468;1098;438;131;587
02.12.2018 18:00;02.12.2018 19:00;2186;1032;401;133;461
02.12.2018 19:00;02.12.2018 20:00;2027;955;361;113;477
02.12.2018 20:00;02.12.2018 21:00;1580;742;298;93;378
02.12.2018 21:00;02.12.2018 22:00;1180;538;209;51;276
02.12.2018 22:00;02.12.2018 23:00;895;392;172;46;170
02.12.2018 23:00;03.12.2018 00:00;544;219;94;24;90
03.12.2018 00:00;03.12.2018 01:00;254;83;35;9;33
03.12.2018 01:00;03.12.2018 02:00;133;36;27;12;26
03.12.2018 02:00;03.12.2018 03:00;67;28;19;3;8
03.12.2018 03:00;03.12.2018 04:00;82;37;12;5;19
03.12.2018 04:00;03.12.2018 05:00;176;88;32;4;26
03.12.2018 05:00;03.12.2018 06:00;626;365;85;16;65
03.12.2018 06:00;03.12.2018 07:00;2838;1364;473;64;385
03.12.2018 07:00;03.12.2018 08:00;4525;2608;726;210;884
03.12.2018 08:00;03.12.2018 09:00;3553;2073;544;212;853
