,clouds,datetime,dewpt,dhi,dni,ghi,max_dhi,max_dni,max_ghi,max_temp,max_temp_ts,max_uv,max_wind_dir,max_wind_spd,max_wind_spd_ts,min_temp,min_temp_ts,precip,precip_gpm,pres,revision_status,rh,slp,snow,snow_depth,solar_rad,t_dhi,t_dni,t_ghi,t_solar_rad,temp,ts,wind_dir,wind_gust_spd,wind_spd
0,66,2018-12-01,-1.7,5,40,6,34,288,48,9.1,1543618800,0.6,187,8.0,1543622400,6.4,1543698000,1.0,1.0,977,final,52.4,993,0.0,,2,127,966,144,52,7.4,1543618800,187,12.8,5.5
1,64,2018-12-02,-2.8,5,38,6,33,281,46,7.3,1543777200,1.2,177,6.0,1543777200,1.4,1543723200,0.0,0.0,975,final,55.4,991,0.0,,5,123,923,135,126,5.4,1543705200,177,10.8,3.6
2,100,2018-12-03,-0.7,5,37,5,33,273,44,7.2,1543867200,0.4,142,3.0,1543867200,0.4,1543870800,4.0,4.0,971,final,80.3,986,8.0,,1,119,881,128,21,2.4,1543791600,142,4.8,1.5
3,93,2018-12-04,-0.5,5,35,5,32,266,42,2.8,1543903200,0.4,234,7.0,1543960800,-1.2,1543957200,7.5,7.5,982,final,91.0,998,37.5,,1,115,842,121,22,0.8,1543878000,234,12.8,3.9
4,87,2018-12-05,-1.9,5,34,5,32,260,41,0.7,1543996800,0.5,206,6.0,1543975200,-1.6,1543971600,8.5,8.5,994,final,90.0,1010,109.5,,2,111,804,114,39,-0.4,1543964400,206,13.6,3.7
5,79,2018-12-06,-4.6,4,32,4,31,253,39,-0.4,1544061600,1.0,189,4.0,1544061600,-6.8,1544115600,1.0,1.0,993,final,88.9,1009,15.0,,3,107,769,108,62,-3.0,1544050800,189,6.0,2.3
6,98,2018-12-07,-3.9,4,31,4,30,247,38,-1.0,1544162400,0.4,111,3.0,1544187600,-6.4,1544140800,0.0,0.0,978,final,89.3,994,0.0,,1,104,737,102,26,-2.4,1544137200,111,5.2,1.6
7,100,2018-12-08,-1.4,4,29,4,30,241,36,0.8,1544292000,0.4,52,5.0,1544295600,-2.7,1544223600,2.0,2.0,966,final,91.0,982,11.5,,0,100,707,97,12,-0.1,1544223600,52,6.4,3.3
8,99,2018-12-09,-0.6,4,28,4,29,236,35,1.4,1544382000,0.4,231,4.2,1544310000,-0.7,1544338800,12.0,12.0,968,final,93.2,984,88.0,,0,97,681,93,9,0.4,1544310000,231,5.6,2.5
9,90,2018-12-10,0.6,4,27,4,29,230,34,2.8,1544479200,0.7,282,3.0,1544472000,1.1,1544400000,0.5,0.5,988,final,87.9,1004,0.0,,2,94,657,89,49,2.3,1544396400,282,6.8,2.3
