session_ID;Garage_ID;User_ID;User_type;Shared_ID;Start_plugin;Start_plugin_hour;End_plugout;End_plugout_hour;El_kWh;Duration_hours;month_plugin;weekdays_plugin;Plugin_category;Duration_category
1;AdO3;AdO3-4;Private;NA;21.12.2018 10:20;10;21.12.2018 10:23;10;0,3;0,05;Dec;Friday;late morning (9-12);Less than 3 hours
2;AdO3;AdO3-4;Private;NA;21.12.2018 10:24;10;21.12.2018 10:32;10;0,87;0,136666667;Dec;Friday;late morning (9-12);Less than 3 hours
3;AdO3;AdO3-4;Private;NA;21.12.2018 11:33;11;21.12.2018 19:46;19;29,87;8,216388889;Dec;Friday;late morning (9-12);Between 6 and 9  hours
4;AdO3;AdO3-2;Private;NA;22.12.2018 16:15;16;23.12.2018 16:40;16;15,56;24,41972222;Dec;Saturday;late afternoon (15-18);More than 18 hours
5;AdO3;AdO3-2;Private;NA;24.12.2018 22:03;22;24.12.2018 23:02;23;3,62;0,970555556;Dec;Monday;late evening (21-midnight);Less than 3 hours
6;AdO3;AdO3-2;Private;NA;24.12.2018 23:32;23;25.12.2018 17:37;17;16,14;18,07777778;Dec;Monday;late evening (21-midnight);More than 18 hours
7;AdO3;AdO3-2;Private;NA;25.12.2018 18:25;18;26.12.2018 16:08;16;10,33;21,72083333;Dec;Tuesday;early evening (18-21);More than 18 hours
8;AdO3;AdO3-4;Private;NA;26.12.2018 10:41;10;26.12.2018 16:52;16;27,66;6,188055556;Dec;Wednesday;late morning (9-12);Between 6 and 9  hours
9;AdO3;AdO3-2;Private;NA;26.12.2018 18:46;18;26.12.2018 21:08;21;8,83;2,371111111;Dec;Wednesday;early evening (18-21);Less than 3 hours
10;AdO3;AdO3-2;Private;NA;29.12.2018 16:04;16;29.12.2018 20:55;20;8,58;4,856111111;Dec;Saturday;late afternoon (15-18);Between 3 and 6 hours
11;AdO3;AdO3-2;Private;NA;29.12.2018 23:48;23;30.12.2018 15:13;15;15,95;15,42833333;Dec;Saturday;late evening (21-midnight);Between 15 and 18 hours
12;AdO3;AdO3-2;Private;NA;30.12.2018 16:24;16;30.12.2018 17:23;17;3,64;0,981111111;Dec;Sunday;late afternoon (15-18);Less than 3 hours
13;AdO3;AdO3-2;Private;NA;30.12.2018 22:00;22;31.12.2018 11:28;11;9,79;13,45472222;Dec;Sunday;late evening (21-midnight);Between 12 and 15 hours
14;AdO3;AdO3-4;Private;NA;02.01.2019 08:39;8;03.01.2019 09:11;9;28,11;24,53388889;Jan;Wednesday;early morning (6-9);More than 18 hours
